name,WEIGHT,HEIGHT,DEPTH,WIDTH,VOLUME,RANK,id
Clothes Rail Without Clothes,2,188,5,131,123140,1032,1536360
Bbq,40,100,57,70,399000,1040,540
Plant,4,60,30,30,54000,1050,941
Shelf,7,24,62,76,113088,1050,455656
Bureau Desk,20,100,41,76,311600,1060,581
Duvet,6,20,20,20,8000,1070,435508
Computer Table,59,74,49,110,398860,1080,652
Low Bookcase,18,32,69,88,194304,1090,455659
Stool,4,37,44,47,76516,1100,1055
Alloy Wheel,11,70,20,70,98000,1110,26083
Bench,17,53,126,57,380646,1130,551
Large Potted Plant,20,23,36,50,41400,1140,435513
Exercise Bike,80,140,60,127,1066800,1150,723
Piano Keyboard,37,80,45,120,432000,1160,715
Chest Freezer,91,95,62,130,765700,1170,26134
One Seater Sofa,30,87,101,84,738108,1180,455670
Shoe Cabinet,20,80,80,80,512000,1190,27970
Ottoman,10,45,98,43,189630,1200,455658
Kitchen Dresser,40,192,48,136,1253376,1210,26659
Corner Dresser,40,192,48,136,1253376,1211,768812
8 Seater Dining Table,62,97,176,75,1280400,1220,506
Console Table,20,73,35,53,135415,1230,655
Bin,5,75,50,50,187500,1240,557
Recycle Bin,5,75,50,50,187500,1241,3088369
Treadmill,75,84,148,140,1740480,1250,1100
Two Seater Sofabed,100,86,58,150,748200,1260,1113
Corner Sofa Bed,91,88,95,213,1780680,1270,26157
Pram,10,84,32,63,169344,1280,956
Corner Sofa (Three Seater),65,146,236,80,2756480,1290,435503
Plant Pot,10,13,26,36,12168,1300,435517
Folding Chair,5,75,53,45,178875,1310,751
Display Unit,40,100,60,130,780000,1320,682
Garden Set,72,69,150,242,2504700,1330,770
Monitor,19,32,9,51,14688,1340,891
Three Seater Sofa Bed,75,104,177,85,1564680,1350,455681
Bathroom Cabinet,20,70,40,30,84000,1360,536
Tent,5,30,30,40,36000,1370,1080
Folding Treadmill,120,148,120,140,2486400,1380,26229
Rocking Chair,10,95,95,55,496375,1390,974
Chest,15,50,50,90,225000,1400,435495
Corner Settee,80,89,53,266,1254722,1410,660
Fan,2,99,51,60,302940,1420,729
Corner Unit,22,69,92,196,1244208,1430,663
Laptop,3,2,27,43,2322,1440,841
Large Desk,23,115,107,161,1981105,1450,26804
Ladder,20,200,50,10,100000,1460,839
Wall Unit,40,165,46,43,326370,1480,1127
Kids Bike,7,40,20,100,80000,1490,26655
Superking Bed & Mattress,35,50,210,190,1995000,1500,1067
55 Inch Tv,29,90,42,140,529200,1510,26041
Car Engine,100,71,84,76,453264,1520,600
Recliner,60,108,100,108,1166400,1530,970
Trunk,25,65,64,137,569920,1540,1106
Tallboy,31,48,47,102,230112,1550,1074
Wardrobe Box,12,122,46,51,286212,1560,564012
Speaker,16,32,32,53,54272,1570,1047
Mobility Scooter,250,100,128,129,1651200,1580,889
Under Counter Fridge,40,82,60,60,295200,1590,28621
Small Mirror,14,108,5,52,28080,1600,28251
Door,40,250,20,100,500000,1610,691
Writing Bureau,20,100,41,76,311600,1620,28932
Double Headboard,15,10,50,90,45000,1630,435507
Electronic Piano,220,80,60,100,480000,1640,718
Sofa Bed,65,86,137,77,907214,1650,455672
Chaise Lounge,60,109,203,84,1858668,1660,625
Kingsize Bed Frame,55,50,190,210,1995000,1670,827
Under Counter Freezer,50,84,59,120,594720,1680,28620
Corner Sofa (Six Seater),80,170,255,95,4118250,1690,435502
Lamp Table,5,45,50,50,112500,1700,26665
Superking Mattress,40,50,180,191,1719000,1710,1068
Sofa Chair,35,89,96,96,820224,1720,28414
Pool Table,285,84,120,180,1814400,1730,949
Bath Tub,28,170,70,55,654500,1740,26096
Golf Clubs,10,54,12,18,11664,1750,783
Car Bumper,4,60,60,87,313200,1760,598
Tools,10,13,26,36,12168,1770,1090
Crosstrainer,120,173,63,144,1569456,1780,667
Blanket Box,12,47,40,41,77080,1800,560
Sewing Machine,17,74,49,50,181300,1810,996
Box Of Toys,12,100,50,100,500000,1820,26107
Single Bed Frame,26,203,18,100,365400,1830,435526
Single Oven,80,109,80,101,880720,1840,27975
Stereo,5,11,13,28,4004,1850,1054
Small Potted Plant,10,13,26,36,12168,1860,435529
Fireplace,60,100,60,100,600000,1870,737
Parcel,5,30,30,30,27000,1880,920
Mini Fridge,25,44,47,46,95128,1890,27914
Table Tennis Table,88,79,40,153,483480,1900,28427
Wing Back Armchair,40,108,100,108,1166400,1910,28792
Double Divan,68,180,135,68,1652400,1920,455682
Corner Cabinet,20,88,91,91,728728,1930,658
Shower Screen,41,10,5,90,4500,1940,1003
Wicker Chair,35,86,40,45,154800,1950,1145
Toy Box,2,30,30,30,27000,1960,1094
Fire Surround,60,100,60,100,600000,1980,26219
Piano Stool,8,91,50,40,182000,1990,27934
Guitar Amp,29,66,48,74,234432,2000,26250
Cd Cabinet,16,22,47,93,96162,2010,26132
Kingsize Headboard,30,10,50,100,50000,2020,435512
Coffee Machine,6,37,51,31,58497,2030,644
Car Seat,20,84,54,36,163296,2040,607
Side Unit,13,64,70,24,107520,2050,1008
Range Oven,80,109,80,101,880720,2060,27956
Fish Tank,20,44,36,30,47520,2070,738
Guitar Amplifier,29,66,48,74,234432,2080,26251
Coat Stand,5,130,28,28,101920,2090,643
Three Seater Sofabed,49,86,80,180,1238400,2100,1084
Flat Packed Bed,60,38,20,200,152000,2110,745
Double Bed Base,47,203,145,50,1471750,2120,435506
Radiator,40,76,14,140,148960,2130,966
Grandfather Clock,80,234,30,51,358020,2140,786
Petrol Lawnmower,500,110,76,186,1554960,2150,27933
Bar Stool,11,73,33,33,79497,2160,531
Car Bonnet,8,40,1,31,1240,2170,595
Weights,40,60,60,50,180000,2180,1136
Drawer,22,90,38,82,280440,2190,26184
Kayak,10,47,26,172,210184,2200,820
Parasol,10,212,20,20,84800,2210,919
Rucksack,5,74,31,20,45880,2220,984
Weight Bench,20,102,50,127,647700,2230,1135
Cushion,1,45,10,45,20250,2240,671
Car Door,9,115,10,91,104650,2250,599
Scooter,106,114,25,74,210900,2260,990
Nest Of Tables,11,54,45,54,131220,2270,674990
48 Inch Tv,10,79,35,122,337330,2280,26034
Cuddle Chair,10,90,50,60,270000,2290,26164
Pouf,5,80,80,80,512000,2300,27945
Caravan Awning,18,40,240,40,384000,2310,611
Wheelchair,10,50,50,50,125000,2320,1142
Toilet,37,42,77,36,116424,2330,1087
Headboard,10,129,11,163,231297,2340,799
Trampoline (8Ft-12Ft),70,20,200,300,1200000,2350,435535
Draw Unit,40,81,48,91,353808,2360,700
Car Gearbox,5,45,20,46,41400,2370,26118
Cast Iron Fireplace,60,100,60,100,600000,2380,26129
Drop Leaf Table,40,100,100,140,1400000,2390,26191
Tub Chair,16,71,77,75,410025,2400,28617
Drum Kit,25,90,61,62,340380,2410,709
Crockery,5,14,29,39,15834,2420,666
Large Speaker,30,100,40,20,80000,2430,435514
Rabbit Hutch,25,146,86,53,665468,2440,965
Ride On Lawn Mower,500,110,76,186,1554960,2450,973
Round Table,40,100,100,140,1400000,2460,27965
60 Inch Tv,31,98,20,152,297920,2470,26046
Cot Bed Mattress,3,38,10,36,13680,2480,455662
Amplifier,29,66,48,74,234432,2500,513
Fence Panel,25,80,4,180,57600,2510,730
Basket,1,50,45,42,94500,2520,533
Wall Cabinet,40,100,68,56,380800,2530,1125
Toddler Bed,40,98,90,158,1393560,2540,28610
Futon Sofabed,59,100,100,196,1960000,2550,763
Dvd Player,1,4,21,27,2268,2560,713
Surfboard,5,62,152,15,141360,2580,1069
Office Table,60,280,75,80,1680000,2590,905
Divan Bed & Mattress,25,190,50,120,1140000,2600,26174
Box Of Tiles,20,56,56,51,159936,2610,435492
Children Bicycle,7,40,20,100,80000,2620,26138
Double Oven,80,109,80,101,880720,2630,26180
Linen Basket,10,13,26,36,12168,2640,435515
Rowing Machine,60,250,59,96,1416000,2650,983
Electric Fire,40,100,60,60,360000,2660,26203
Outdoor Table Tennis Table,88,79,40,153,483480,2670,27928
24 Inch Tv,13,39,11,61,26169,2680,26006
Playstation,10,13,26,36,12168,2690,27941
Futon,59,100,100,196,1960000,2700,761
Motorbike Frame,8,51,45,30,68850,2720,896
Changing Table,40,100,100,140,1400000,2730,26133
Kitchen Trolley,55,71,40,78,221520,2740,26660
French Dresser,40,192,48,136,1253376,2750,26235
Wood Burning Stove,100,100,100,100,1000000,2760,28794
Exhaust,35,57,30,47,80370,2780,726
Kitchen Sink,49,44,23,56,56672,2790,833
Pedestal,20,120,50,50,300000,2800,928
Vanity Unit,45,79,31,69,168981,2810,1120
Xbox,10,13,26,36,12168,2820,1161
Shower Tray,26,4,76,76,23104,2830,1004
Gazebo,15,150,50,100,750000,2840,776
Handbag,8,55,23,40,50600,2850,797
Mattress Topper,5,190,10,99,188100,2860,883
Dvd Cabinet,16,22,47,93,96162,2870,435509
Heater,5,13,40,58,30160,2880,800
Corner Shelf,5,61,26,26,41236,2890,661
Motorcycle Engine,39,25,42,25,26250,2900,898
Curtain Pole,2,10,10,240,24000,2910,670
Record Player,7,38,30,31,35340,2920,972
Single Divan Bed,25,190,50,120,1140000,2930,27974
Large Fish Tank,23,80,80,80,512000,2940,26869
Daybed,80,100,100,200,2000000,2950,672
Tablebench,20,60,40,140,336000,2960,1326
Upright Freezer,50,178,54,58,557496,2970,28622
Christmas Tree,7,195,53,53,547755,2990,633
Tool Box,18,20,20,40,16000,3000,1088
Air Conditioning Unit,15,70,30,50,105000,3010,509
Occasional Table,28,45,58,90,234900,3020,902
Mobile Phone,1,14,1,7,98,3030,888
Rocking Horse,20,84,42,29,102312,3040,975
Workbench,30,96,91,140,1223040,3050,1157
Cabin Bed,20,110,30,95,313500,3060,583
Kitchen Bin,6,80,40,76,243200,3070,829
Stand,2,47,15,25,17625,3080,1050
High Chair,9,81,47,50,190350,3090,26648
Golf Bag,1,45,1,36,1620,3100,781
Mannequin,10,150,40,40,240000,3110,1297
Garden Strimmer,3,70,40,30,84000,3120,26244
Super Kingsize Bed Frame,90,219,100,121,2649900,3130,435532
Electric Bicycle,20,95,30,140,399000,3140,26198
Day Bed,80,100,100,200,2000000,3150,27973
Folding Bed,45,90,41,100,369000,3160,750
Bass Guitar,10,70,30,100,210000,3170,534
Fishing Rod,2,16,16,4,1024,3180,740
Sink,60,60,26,46,71760,3190,1014
Moses Basket,1,61,30,34,62220,3200,893
Multigym,70,150,90,130,1755000,3210,899
Patio Set,100,200,100,200,4000000,3220,925
Loudspeaker,16,32,32,53,54272,3230,27449
Envelope,1,5,1,10,50,3240,722
Sunbed,245,60,100,200,1200000,3250,1066
Wine Rack,10,100,30,60,180000,3260,1153
Church Pew,40,77,45,141,488565,3270,634
Easel,4,60,4,60,14400,3280,26196
Cot Mattress,3,27,64,95,164160,3290,455657
Corner Desk,20,100,93,140,1302000,3300,26156
Butchers Block,20,100,40,120,480000,3310,582
Child Car Seat,20,64,71,50,227200,3320,26088
Twin Pedestal Desk,40,80,80,177,1132800,3330,28618
Queensize Bed & Mattress,67,180,135,68,1652400,3340,435521
Single Bed Base,22,50,37,180,333000,3350,435525
Small Double Mattress,34,26,120,179,558480,3360,455666
Travel Cot,23,98,90,146,1287720,3370,28614
Garage Door,100,230,50,300,3450000,3380,765
Puffet,5,80,80,80,512000,3390,27951
Crate,100,100,160,160,2560000,3400,665
Hall Table,76,84,38,80,255360,3410,793
Plan Chest,40,78,50,51,198900,3420,940
Stackable Chair,5,70,50,50,175000,3430,1048
Soundsystem,16,32,32,53,54272,3440,28416
Arcade Machine,136,100,90,86,774000,3450,517
Vivarium,12,40,37,38,56240,3460,1123
Climbing Frame,50,150,160,250,6000000,3470,635
Curtain,2,10,10,240,24000,3480,669
Wheel,11,70,20,70,98000,3490,1140
Corner Cupboard,25,34,91,91,281554,3500,659
Jukebox,140,138,71,86,842628,3510,819
Car Key,1,8,2,6,96,3520,26119
Dog Cage,7,12,12,16,2304,3530,685
Passport,1,10,10,10,1000,3540,923
